neighborhood_municipality,indv_tested,cases,deaths,update_date
Aleppo,362,6,0,2020-10-26
Allegheny Center (Pittsburgh),195,14,0,2020-10-26
Allegheny West (Pittsburgh),94,3,0,2020-10-26
Allentown (Pittsburgh),327,30,0,2020-10-26
Arlington (Pittsburgh),255,25,1,2020-10-26
Arlington Heights (Pittsburgh),52,1,1,2020-10-26
Aspinwall,375,16,0,2020-10-26
Avalon,731,40,4,2020-10-26
Baldwin Borough,3948,585,12,2020-10-26
Baldwin Township,264,26,1,2020-10-26
Banksville (Pittsburgh),658,78,10,2020-10-26
Bedford Dwellings (Pittsburgh),205,21,2,2020-10-26
Beechview (Pittsburgh),1070,51,0,2020-10-26
Bell Acres,169,9,0,2020-10-26
Bellevue,1305,87,0,2020-10-26
Beltzhoover (Pittsburgh),234,25,1,2020-10-26
Ben Avon,273,15,0,2020-10-26
Ben Avon Heights,65,4,0,2020-10-26
Bethel Park,4120,249,3,2020-10-26
Blawnox,201,10,1,2020-10-26
Bloomfield (Pittsburgh),1613,84,1,2020-10-26
Bluff (Pittsburgh),3789,116,0,2020-10-26
Bon Air (Pittsburgh),79,5,0,2020-10-26
Brackenridge,723,32,0,2020-10-26
Braddock,384,28,0,2020-10-26
Braddock Hills,276,16,0,2020-10-26
Bradford Woods,163,11,0,2020-10-26
Brentwood,1644,170,1,2020-10-26
Bridgeville,570,43,0,2020-10-26
Brighton Heights (Pittsburgh),1688,92,0,2020-10-26
Brookline (Pittsburgh),1909,140,1,2020-10-26
California-Kirkbride (Pittsburgh),119,12,1,2020-10-26
Carnegie,981,78,0,2020-10-26
Carrick (Pittsburgh),1480,145,3,2020-10-26
Castle Shannon,1166,105,3,2020-10-26
Central Business District (Pittsburgh),917,69,0,2020-10-26
Central Lawrenceville (Pittsburgh),919,54,6,2020-10-26
Central Northside (Pittsburgh),608,40,0,2020-10-26
Central Oakland (Pittsburgh),1339,237,0,2020-10-26
Chalfant,142,17,1,2020-10-26
Chartiers City (Pittsburgh),65,2,0,2020-10-26
Chateau (Pittsburgh),18,0,0,2020-10-26
Cheswick,258,14,0,2020-10-26
Churchill,564,29,1,2020-10-26
Clairton,1202,115,2,2020-10-26
Collier,1180,94,0,2020-10-26
Coraopolis,645,54,5,2020-10-26
Crafton,974,77,3,2020-10-26
Crafton Heights (Pittsburgh),521,68,0,2020-10-26
Crawford-Roberts (Pittsburgh),709,49,2,2020-10-26
Crescent,211,18,2,2020-10-26
Dormont,1205,90,1,2020-10-26
Dravosburg,219,11,0,2020-10-26
Duquesne,856,87,4,2020-10-26
Duquesne Heights (Pittsburgh),1633,31,0,2020-10-26
East Allegheny (Pittsburgh),398,27,2,2020-10-26
East Carnegie (Pittsburgh),88,3,0,2020-10-26
East Deer,231,8,0,2020-10-26
East Hills (Pittsburgh),424,37,1,2020-10-26
East Liberty (Pittsburgh),1112,77,3,2020-10-26
East Mckeesport,286,28,0,2020-10-26
East Pittsburgh,278,22,0,2020-10-26
Edgewood,628,26,0,2020-10-26
Edgeworth,298,15,0,2020-10-26
Elizabeth Borough,199,17,0,2020-10-26
Elizabeth Township,1677,126,4,2020-10-26
Elliott (Pittsburgh),306,21,0,2020-10-26
Emsworth,296,17,0,2020-10-26
Esplen (Pittsburgh),26,3,0,2020-10-26
Etna,569,31,0,2020-10-26
Fairywood (Pittsburgh),353,25,1,2020-10-26
Fawn,315,24,0,2020-10-26
Findlay,592,51,3,2020-10-26
Fineview (Pittsburgh),169,9,0,2020-10-26
Forest Hills,1066,48,0,2020-10-26
Forward,328,17,0,2020-10-26
Fox Chapel,1281,79,1,2020-10-26
Franklin Park,2129,118,3,2020-10-26
Frazer,155,11,0,2020-10-26
Friendship (Pittsburgh),357,8,0,2020-10-26
Garfield (Pittsburgh),748,49,2,2020-10-26
Glassport,611,46,1,2020-10-26
Glen Hazel (Pittsburgh),312,95,21,2020-10-26
Glen Osborne,79,3,0,2020-10-26
Glenfield,27,3,0,2020-10-26
Green Tree,692,60,1,2020-10-26
Greenfield (Pittsburgh),1197,70,4,2020-10-26
Hampton,2863,200,3,2020-10-26
Harmar,682,38,0,2020-10-26
Harrison,1405,83,1,2020-10-26
Hays (Pittsburgh),45,6,0,2020-10-26
Haysville,12,2,0,2020-10-26
Hazelwood (Pittsburgh),684,53,0,2020-10-26
Heidelberg,161,7,0,2020-10-26
Highland Park (Pittsburgh),1597,81,3,2020-10-26
Homestead,493,41,0,2020-10-26
Homewood North (Pittsburgh),422,43,0,2020-10-26
Homewood South (Pittsburgh),389,26,0,2020-10-26
Homewood West (Pittsburgh),108,9,0,2020-10-26
Indiana,1270,82,0,2020-10-26
Ingram,427,51,0,2020-10-26
Jefferson Hills,2002,202,11,2020-10-26
Kennedy,1622,141,20,2020-10-26
Kilbuck,107,6,0,2020-10-26
Knoxville (Pittsburgh),462,49,0,2020-10-26
Larimer (Pittsburgh),502,25,0,2020-10-26
Leet,176,10,0,2020-10-26
Leetsdale,131,6,0,2020-10-26
Liberty,317,23,0,2020-10-26
Lincoln,127,13,0,2020-10-26
Lincoln Place (Pittsburgh),418,30,1,2020-10-26
Lincoln-Lemington-Belmar (Pittsburgh),950,56,2,2020-10-26
Lower Lawrenceville (Pittsburgh),466,26,0,2020-10-26
